sentence_id,sentence,context,topic,label,#positive,#negative,sentence_internal_id,val,test
0,"This has worked partially and very slowly and I'm like we would have wanted perhaps it's time to change our approach and change the way that we treat men specifically, we advocate in this debate the already existing and rapidly growing phenomenon of things like chippendales backstreet, boys, one direction and justin bieber now, here's something that I never thought that I would say, truly our line is simple","But unlike proposition we do not think that the root of the problem lies with objectification itself, but rather with the inequality or the disproportion now that the off that objectification and that is what we aim to fix that's right, rather than less female beauty pageants, we offer more dominance to male beauty pageants in male objectification in general, we believe that true liberation for women means having them treated equally for decades, we've tried to achieve that goal by changing our approach, or the way that we treat women  This has worked partially and very slowly and I'm like we would have wanted perhaps it's time to change our approach and change the way that we treat men specifically, we advocate in this debate the already existing and rapidly growing  phenomenon of things like chippendales backstreet, boys, one direction and justin bieber now, here's something that I never thought that I would say, truly our line is simple",We should ban beauty contests,0,0,3,834,FALSE,TRUE
1,So let's start with that about why this is ultimately doomed to failure,  So let's start with that about why this is ultimately doomed to failure  ,We should ban anonymous posts,0,1,2,1375,FALSE,TRUE
2,"We think that governments in general should only intervene to ban something or require something if it would make a meaningful difference in people's lives, if the net outcome of a policy is going to be the status quo, it would be better for government to just do nothing","So we ought not do it  We think that governments in general should only intervene to ban something or require something if it would make a meaningful difference in people's lives, if the net outcome of a policy is going to be the status quo, it would  be better for government to just do nothing",We should ban beauty contests,1,2,1,877,FALSE,TRUE
3,"And I think the biggest reason for this is that if people post anonymously because they don't want their identity, be known and it just by like a more firstly, banning someone from posting anonymously doesn't mean that they're not going to post, especially if they really want to say something like that it's pretty easy to both hide your identity on the internet, but also try to like all to your identity on the internet","So let's start with that about why this is ultimately doomed to failure  And I think the biggest reason for this is that if people post anonymously because they don't want their identity, be known and it just by like a more firstly, banning someone from posting anonymously doesn't mean that they're not going  to post, especially if they really want to say something like that it's pretty easy to both hide your identity on the internet, but also try to like all to your identity on the internet",We should ban anonymous posts,0,1,2,1376,FALSE,TRUE
4,"And because you can get high concentrations of higher concentrations of mercury as a result of that, but in addition to the direct harms of fracking there's also incredibly prominent in direct harms that come from fracking, namely that further dependence on oil and other non renewable sources of energy like it are very unclean source of energy will only further on lead to more global warming and climate change","Obviously people can have a drinking what their own drinking water be contaminated, but if that's not the case also certainly plants and animals that are in the area will absorb these chemicals most likely, and that creates a problem because when humans consume that dole, therefore also get these chemicals as far as inhalation that's like it's the same principle as far as like you don't want you to much sound  And because you can get high concentrations of higher concentrations of mercury as a result of that, but in addition to the direct harms of fracking there's also incredibly prominent in direct harms that come from fracking, namely that further dependence  on oil and other non renewable sources of energy like it are very unclean source of energy will only further on lead to more global warming and climate change",We should further exploit unconventional oil,1,3,0,471,FALSE,TRUE
5,"Rather, it will simply place the blame and the onus of responsibility for victimization for off work for perpetuation of problematic norms on the victims themselves and drive home, the notion that it's sort of like the stereo type of like the vapid blonde women or whatever it is really the one to blame for misogyny when nothing could be further from the truth","If you see cosmetic surgery is just a means by which men exert their will upon women and women's bodies than there are plenty of other mechanisms for doing that given that it seems unlikely that plastic surgery bands will actually solve this issue  Rather, it will simply place the blame and the onus of responsibility for victimization for off work for perpetuation of problematic norms on the victims themselves and drive home, the notion that it's sort of like the stereo type of like  the vapid blonde women or whatever it is really the one to blame for misogyny when nothing could be further from the truth",We should ban cosmetic surgery,1,2,1,575,FALSE,TRUE
6,So for all these reasons we should not abolish the electoral college,"And people from most of the country would have no input at all, perhaps they would come up with the system that made it even easier to prevent minorities from voting and having their vote counted, it's difficult to argue the alternative would be better given that the people who would be designing the alternative are corrupt and don't have the best interest of the american people at heart  So for all these reasons we should not abolish the electoral college  ",We should abolish the US Electoral College,0,0,3,1468,TRUE,FALSE
7,"They must assume that whatever he says is true without doubting him too much alley features will start discussing issues that are not clear cut and will make a stand in this case like making a stand for instance that having sex in the young is like having sex in a young age or before marriage is acceptable, then they are doing something unfair, the are you abusing their power and their authority","A teacher has an authority over children since it is his job to provide them with knowledge  They must assume that whatever he says is true without doubting him too much alley features will start discussing issues that are not clear cut and will make a stand in this case like making a stand for instance that having  sex in the young is like having sex in a young age or before marriage is acceptable, then they are doing something unfair, the are you abusing their power and their authority",Sex education should be mandatory,0,0,3,694,FALSE,TRUE
8,"But the problem with this is that if an individual isn't old enough to understand the consequences, the action, it isn't reasonable to call that consenting into the action or autonomy by any means our second independent point is that people will always drink before the drinking age gulf makes a lot of noise over the fact that people tend to abuse the drinking age arm and drink before it's legal","A lot of governments, case circles around consent  But the problem with this is that if an individual isn't old enough to understand the consequences, the action, it isn't reasonable to call that consenting into the action or autonomy by any means our second independent point is that people  will always drink before the drinking age gulf makes a lot of noise over the fact that people tend to abuse the drinking age arm and drink before it's legal",We should lower the drinking age,1,3,0,351,FALSE,TRUE
9,"This is the greatest harm they can be actualized upon the students and is it is not worth keeping some students sex, education and others will be left out in the drive for this reason","First, if wealthier parents, those who can afford to put their students in other schools, decide to take them out of public schools, the be a major political shift away from public schools to private schools, which will decrease funding for public schools, forcing education further additionally, all the students who do not have parents who can afford to put them in home schooling will face far worse education, leaving them destitute and potentially without a future  This is the greatest harm they can be actualized upon the students and is it is not worth keeping some students sex, education and others will be left out in the drive for this reason  ",Sex education should be mandatory,0,0,3,727,TRUE,FALSE
