topic,retrievedUrl,archivedUrl,sentenceHash,sentence,annotation,set,annotation_real
abortion,http://www.americamagazine.org/issue/feminist-case-against-abortion,http://web.archive.org/web/20160422223822/http://americamagazine.org:80/issue/feminist-case-against-abortion,3c7c91561f821091bfa71eca931132c4,It is heartwarming to see a support structure for women being developed to counter the circumstances ( including poverty and the convenience of some males ) that prompt abortion .,NoArgument,train,NoArgument
abortion,http://www.peterkreeft.com/topics-more/personhood_apple.htm,http://web.archive.org/web/20161109201817/http://www.peterkreeft.com/topics-more/personhood_apple.htm,d3aff9ac5bcede0858a2fe73bbd9b93e,There is no third possibility .,NoArgument,train,NoArgument
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,8def9d71c5992e1bf84750ef357b3e75,It is my privilege to care for her each day . ,NoArgument,train,NoArgument
abortion,http://www.peterkreeft.com/topics-more/personhood_apple.htm,http://web.archive.org/web/20161109201817/http://www.peterkreeft.com/topics-more/personhood_apple.htm,34d7c632e34d033da7f2de4ad8d40e95,What is abortion in each of these four cases ?,NoArgument,train,NoArgument
abortion,http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,http://web.archive.org/web/20160805225641/http://www.uclalawreview.org/the-equality-argument-for-abortion-rights/,0ec0f5742191dabed4d542fdba524a8d,5 Liberty arguments focus less on these gendered biases and burdens on women .,NoArgument,train,NoArgument
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,44ff16a49d9388ff51555b57ad0eebcc,But I am not the cause of his death ; I have merely chosen not to save him .,NoArgument,train,NoArgument
abortion,http://aclu.procon.org/view.answers.php?questionID=000677,http://web.archive.org/web/20140527155455/http://aclu.procon.org/view.answers.php?questionID=000677,cdf4a0450db4f8ac25fba00e0e953927,"Once the skull is emptied , the intact fetus is removed from the womans body .",NoArgument,train,NoArgument
abortion,http://www.csmonitor.com/USA/Politics/2013/0614/11-states-charging-hard-against-abortion/Texas-Gov.-Rick-Perry-signs-sweeping-abortion-bill,http://web.archive.org/web/20161006003423/http://www.csmonitor.com/USA/Politics/2013/0614/11-states-charging-hard-against-abortion/Texas-Gov.-Rick-Perry-signs-sweeping-abortion-bill,58e0c098b8b45eafab63ef73fbe9ef51,An earlier version of the legislation was killed by a filibuster staged by state Sen. Wendy Davis ( D ) .,NoArgument,train,NoArgument
abortion,http://www.christianpost.com/news/hillary-clinton-is-the-best-choice-for-voters-against-abortion-170258/,http://web.archive.org/web/20161106000413/http://www.christianpost.com/news/hillary-clinton-is-the-best-choice-for-voters-against-abortion-170258/,4ccb1f73e2d44190618595c57416e209,I 'll start by saying that I do n't think Christians should be single-issue voters since Christ 's ministry was n't single-issue .,NoArgument,train,NoArgument
abortion,http://www.peterkreeft.com/topics-more/personhood_apple.htm,http://web.archive.org/web/20161109201817/http://www.peterkreeft.com/topics-more/personhood_apple.htm,0826a07ecb1f6b32d13543b388cb7f70,"If we know what an apple is , surely we know what a human being is .",NoArgument,train,NoArgument
