id,rank,argument,context,stance,topic,Manual 
2057,0.0,It will teach kids to face there fear by forcing them to face there fear of needles,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1
5061,0.0,You can catch the flue become you were uncautious or because you might it from someone if we prevent people from getting it we prevent them from passing on the flue,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1
1513,0.0,Governance always lags innovation; security and end to end accountability will eventually follow. Personal and social harm in the short term is simply the cost of advancement.,Social-media-brings-more-good-than-harm,con,Social Media,1
3834,0.0,Social media users are more vulnerable to security breaches like hacking and viruses.,Social-media-brings-more-harm-than-good,pro,Social Media,0
4913,0.0,What does the question mean? Does it mean there should be a law? People should just eat what they want and be left alone. Enough with the nanny state!,We-should-abandon-vegetarianism,con,Cryptocurrency,1
650,0.0,"By encouraging violence among children, we may have a more thoughtful discussion about the increasing violence problem in society.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
4457,0.0,"Tom & Jerry is a violent cartoon for children with a minimum age of six, so why they should be allowed and video games not.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
11,0.0,"2. More info: When it is illegal you have less access to doctors because you cannot freely talk about such issues. Usually, athlete will only have access to team doctor who is biased.",We-should-ban-doping-in-sport,con,Doping in Sport,1
2410,0.0,"Once you use it you go get addicted to more difficult one , once the sports gamer start and he wont be able to continue to keep what he does in sports",We-should-ban-doping-in-sport,con,Doping in Sport,1
84,0.0,"Actually servers and server farms represent 5% of the energy useage in the US. Should we ban those, too? Bye bye Internet.",We-should-not-ban-fossil-fuels,con,Fossil Fuels,1
4453,0.0,"Today monopolies are controlling the energy market by controlling resources, it is illegitimate to deny more companies of the chance to step into that market just because they weren't given resources by the government",We-should-not-ban-fossil-fuels,con,Fossil Fuels,1
373,0.0,"Autonomous cars should not be rolled out prematurely, but development should not be stopped.",We-should-promote-autonomous-cars,con,Autonomous Cars,0
4695,0.0,"We can't stop development totally, somebody will develop them nevertheless. So we just need to develop well.",We-should-promote-autonomous-cars,con,Autonomous Cars,1
2180,0.071428571,"Makes these video games legitimate to promoting and buying for children, as it is legal to do so",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
4282,0.076923077,"The very Privacy concept reinforce the human nature of lying, deceiving and secretly working against someone.",We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1
2168,0.083333333,"Louisa May Alcott wrote in, Little Women, ""The youngest...could not conceal her disappointment...feeling as so many of us have felt when we discover that our idols are very ordinary... "". Social Media gives us unfettered access.",Social-media-brings-more-good-than-harm,con,Social Media,1
2967,0.083333333,"SM brings the information, knowledge that you can never have before, the news feed is based on what you're interested in & the people you follow, so it's you who decide whether it's harmful or not",Social-media-brings-more-good-than-harm,con,Social Media,1
5439,0.083333333,violent video games do not affect children at all i know since i have grown up playing video games and i am perfectly fine violent video actually improved my speech i knew more words than alotofpeople,We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1
1061,0.090909091,Failure is an important aspect of human growth and failure while gambling allows individuals the opportunity to learn from their experience and grow.,Gambling-should-not-be-banned,con,Gambling,1
1984,0.090909091,"It is extremely convenient for busy people who do not have time to go to retail shops. I DO THE MAJORITY OF MY SHOPPING ONLINE, do not know what I would do without it.",Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
4742,0.090909091,We need to spend more time face to face to understand people emotion,Social-media-brings-more-harm-than-good,pro,Social Media,1
1597,0.090909091,"I bought $100 worth of bitcoin in 2015 and it's worth $50 today, so no.",We-should-abandon-cryptocurrency,con,Cryptocurrency,0
210,0.090909091,"As there is no level play , so let sportsmen have choice to to Mach in competition.",We-should-legalize-doping-in-sport,pro,Doping in Sport,1
5046,0.1,"Yes, because it enables an addiction. Cigarettes should be banned too.",Gambling-should-be-banned,pro,Gambling,1
5318,0.1,people don't really get addicted to gambling. they just enjoy it - why should you ban that?,Gambling-should-not-be-banned,con,Gambling,1
5149,0.1,but shopping online for cheapness is kinda doodoo as risks are worse than the gains.... i shop online cuz im lazy!!!,Online-shopping-brings-more-harm-than-good,pro,Online Shopping,1
5104,0.1,"and had no idea about this city but thanks to facebook (pune(flat and flatmates), people guided my with the places i can dwell in",Social-media-brings-more-good-than-harm,con,Social Media,1
5380,0.1,"starting with a good morning, showing to he world what you ate, where you were every half an hour, not certain what value it provides to others.. certainly consumes lot of power, increases carbon emission",Social-media-brings-more-harm-than-good,pro,Social Media,1
5077,0.1,"You should only care for privacy for something you paid for. Facebook, for instance, may decide what to do with their data since it's free (with common agreement of both parts while in the login page)",We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1
1776,0.111111111,In many cases it gives people hope that they can get out of their situation. Life is very depressing when you don't have hope.,Gambling-should-not-be-banned,con,Gambling,1
4262,0.111111111,The things which we are buying online is good. And the things are in cheaper rates also. The online things can be return or exchanged also. There are EMI policy also.,Online-shopping-brings-more-good-than-harm,con,Online Shopping,1
1586,0.111111111,"I'm concerned about the future; I.e.: Social Scoring. In some countries this is becoming just as important as credit score. How unfair for the ""introvert"" or individual thinker to have social aptitude valued above all else.",Social-media-brings-more-harm-than-good,pro,Social Media,1
2146,0.111111111,"Like liquor, social media is enjoyed by some people, but also destroys other people, and harms politics, democracies, and societies, so social media outlets should disclose each user's true identity.",Social-media-brings-more-harm-than-good,pro,Social Media,1
