topic,retrievedUrl,archivedUrl,sentenceHash,sentence,annotation,set
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,0c59e40eb9344b18ae0995fa2c094c70,"- By terminating a life , can we justify our acts ?",Argument_against,train
abortion,http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,http://web.archive.org/web/20160916225634/http://www.strangenotions.com/answering-three-common-arguments-for-abortion/,114628bf92cf6ae76a61774634e2dc8a,I do n't think there 's any confusion ; personhood begins at conception .,Argument_against,train
abortion,http://www.ontheissues.org/Celeb/Donald_Trump_Abortion.htm,http://web.archive.org/web/20160504193451/http://www.ontheissues.org:80/Celeb/Donald_Trump_Abortion.htm,2283e9175918680517b931062e69b9bf,"In "" The America We Deserve , "" Trump then wrote that he supported a woman 's right to choose .",Argument_for,train
abortion,https://carm.org/logical-argument-against-abortion,http://web.archive.org/web/20130905144423/http://carm.org/logical-argument-against-abortion,903f8924077f2df2c17166f28c3ba2f8,What is growing in the womb of the woman is alive .,Argument_against,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,3e7eaa33cf3a7c94a8b765c9eb8c4416,There is no excuse for an abortion .,Argument_against,train
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,680fa8f599aa4673504e5f6c41faf587,This concept is fundamental for women .,Argument_for,train
abortion,http://www.debate.org/abortion-debate/,http://web.archive.org/web/20160425164133/http://www.debate.org:80/abortion-debate/,10b76c2625c471404bed838ffb274a82,Some abortions happen because of societal pressures .,Argument_against,train
abortion,http://abortion.procon.org/,http://web.archive.org/web/20161107160640/http://abortion.procon.org/,0e12d2d4da9de7340d18738c1cfbb1ac,Abortion may lead to future medical problems for the mother .,Argument_against,test
abortion,http://www.choicematters.org/2007/12/legal-abortion-arguments-pro-con/,http://web.archive.org/web/20160502081158/http://www.choicematters.org:80/2007/12/legal-abortion-arguments-pro-con/,312a5089f16b4b414b62cc3949efd542,Taxpayers should n’t have to pay for what they believe is immoral .,Argument_against,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,c6dcae0f39b0e08a1d3a19020b50f72e,ABORTION IS BASICALLY MURDER !,Argument_against,train
abortion,http://womensissues.about.com/od/reproductiverights/a/AbortionArgumen.htm,http://web.archive.org/web/20160513204616/http://womensissues.about.com/od/reproductiverights/a/AbortionArgumen.htm,738c209922ffc1c6778f61ff42c6b872,Pregnancy can occur even with responsible contraceptive use .,Argument_for,test
abortion,http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,http://web.archive.org/web/20151003145841/http://www.slate.com/articles/news_and_politics/frame_game/2013/02/abortion_polls_are_single_issue_voters_pro_life_or_pro_choice.html,ceff6476354319e9a2eb4582445f10ca,Only 46 percent said they favored making abortions more difficult .,Argument_for,train
abortion,http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,http://web.archive.org/web/20160902223828/http://www.rawstory.com/2015/09/here-are-11-inane-and-insulting-anti-abortion-arguments-and-how-you-can-shred-the-shamers/,9f8dc03f658932d01c9af708067042ef,Example : How would you feel if your mother aborted you ?,Argument_against,train
abortion,http://www.ontheissues.org/Celeb/Donald_Trump_Abortion.htm,http://web.archive.org/web/20160504193451/http://www.ontheissues.org:80/Celeb/Donald_Trump_Abortion.htm,486aedf9a6a5e951258313a6a71a26df,Social Issues : Abortion should be limited .,Argument_against,train
abortion,http://www.healthguidance.org/entry/13561/1/Pros-and-Cons-of-Abortion.html,http://web.archive.org/web/20160425042210/http://www.healthguidance.org:80/entry/13561/1/Pros-and-Cons-of-Abortion.html,79de3bed177acd958d3be7ccb23aca70,That should be left up to God himself .,Argument_against,train
